Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
FROSTBURG STATE,11/29/15,74-47,W,16-58,.276,4-19,.211,11-14,.786,11,25,36,33.2,15,7,18,7,11,47,55.0,2015-2016
SALISBURY,12/02/15,71-60,W,22-52,.423,10-27,.370,6-11,.545,11,16,27,32.0,22,14,13,1,9,60,56.0,2015-2016
at Marymount (VA),12/05/15,68-58,W,18-54,.333,5-13,.385,17-25,.680,8,20,28,31.3,19,7,6,3,4,58,56.3,2015-2016
at Virginia Wesleyan,12/13/15,64-61,W,20-61,.328,4-16,.250,17-25,.680,16,18,34,31.7,18,7,15,3,12,61,57.0,2015-2016
at Pitt-Greensburg,12/16/15,93-74,W,23-56,.411,9-23,.391,19-29,.655,10,21,31,31.6,17,16,17,2,4,74,59.1,2015-2016
SHENANDOAH,12/29/15,80-69,W,24-57,.421,6-16,.375,15-24,.625,11,32,43,32.9,27,13,20,5,4,69,60.2,2015-2016
SCRANTON,12/30/15,58-65,L,21-40,.525,6-13,.462,17-23,.739,4,22,26,32.2,16,14,16,3,4,65,60.7,2015-2016
SOUTHERN VIRGINIA,01/02/16,75-40,W,14-54,.259,0-10,.000,12-27,.444,14,16,30,32.0,17,6,15,6,8,40,58.8,2015-2016
at Penn State Harrisburg,01/06/16,77-65,W,23-54,.426,4-10,.400,15-23,.652,7,18,25,31.4,31,7,10,1,7,65,59.3,2015-2016
WESLEY,01/09/16,81-68,W,26-59,.441,4-10,.400,12-16,.750,10,20,30,31.3,22,10,15,8,7,68,60.0,2015-2016
at Mary Washington,01/13/16,80-62,W,23-63,.365,6-17,.353,10-17,.588,18,23,41,32.0,16,8,18,7,6,62,60.1,2015-2016
YORK (PA.),01/16/16,72-53,W,15-44,.341,4-12,.333,19-22,.864,5,20,25,31.5,28,11,16,3,3,53,59.7,2015-2016
at St. Mary's (Md.),01/20/16,83-67,W,22-58,.379,6-20,.300,17-26,.654,11,27,38,31.9,32,13,18,2,5,67,60.1,2015-2016
at Southern Virginia,01/27/16,82-73,W,22-47,.468,2-11,.182,27-35,.771,5,20,25,31.5,27,9,21,5,10,73,60.9,2015-2016
PENN STATE HARRISBURG,01/30/16,90-41,W,7-36,.194,0-9,.000,27-34,.794,10,14,24,31.1,37,3,25,6,8,41,59.8,2015-2016
at Frostburg State,02/01/16,82-71,W,25-63,.397,8-17,.471,13-22,.591,11,22,33,31.2,24,11,12,4,6,71,60.4,2015-2016
at Salisbury,02/03/16,61-59,Wot,20-54,.370,6-19,.316,13-18,.722,18,23,41,31.7,19,6,17,5,6,59,60.3,2015-2016
at Wesley,02/06/16,78-74,W,25-52,.481,4-8,.500,20-26,.769,12,14,26,31.4,27,12,5,4,8,74,61.0,2015-2016
MARY WASHINGTON,02/10/16,79-68,W,23-53,.434,5-13,.385,17-20,.850,4,22,26,31.2,16,11,11,3,7,68,61.3,2015-2016
at York (Pa.),02/13/16,80-60,W,24-46,.522,3-16,.188,9-15,.600,3,25,28,31.0,21,10,17,5,3,60,61.2,2015-2016
ST. MARY'S (MD.),02/17/16,69-53,W,21-53,.396,7-23,.304,4-13,.308,7,29,36,31.3,15,9,17,4,5,53,60.9,2015-2016
MARYMOUNT (VA),02/20/16,89-59,W,19-50,.380,3-10,.300,18-29,.621,10,14,24,31.0,19,13,12,2,7,59,60.8,2015-2016
ST. MARY'S (MD.),02/25/16,57-56,W,24-49,.490,5-12,.417,3-5,.600,3,24,27,30.8,26,11,15,8,6,56,60.6,2015-2016
SALISBURY,02/27/16,68-67,Wot,22-52,.423,8-21,.381,15-17,.882,9,22,31,30.8,23,9,21,2,7,67,60.9,2015-2016
LYCOMING,03/04/16,79-71,W,27-55,.491,7-10,.700,10-20,.500,6,24,30,30.8,18,7,14,1,10,71,61.2,2015-2016
NYU,03/05/16,67-64,W,25-59,.424,0-4,.000,14-26,.538,15,29,44,31.2,18,8,11,7,0,64,61.3,2015-2016
vs Keene State College,03/11/16,74-62,W,20-52,.385,2-8,.250,20-31,.645,8,26,34,31.3,23,5,14,4,8,62,61.3,2015-2016
vs College of Wooster,03/12/16,81-61,W,20-54,.370,4-13,.308,17-27,.630,12,25,37,31.5,26,7,17,2,8,61,61.3,2015-2016
vs St. Thomas,03/18/16,62-66,L,23-56,.411,1-8,.125,19-24,.792,11,29,40,31.8,15,3,12,5,8,66,61.5,2015-2016
RANDOLPH-MACON,11/15/16,70-47,W,17-51,.333,6-21,.286,7-11,.636,6,24,30,30.0,18,7,16,6,3,47,47.0,2016-2017
vs Wis.-Stevens Point,11/18/16,71-51,W,20-55,.364,5-14,.357,6-12,.500,12,16,28,29.0,16,7,18,5,8,51,49.0,2016-2017
vs Marietta,11/19/16,50-74,L,22-62,.355,9-30,.300,21-25,.840,10,35,45,34.3,17,16,9,3,5,74,57.3,2016-2017
