Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
at Salisbury,2/25/14,78-74,Wot,27-48,.563,5-16,.313,19-20,.950,5,22,27,37.6,22,7,17,8,6,78,71.8,2013-2014
at Wesley,02/27/14,59-54,W,19-57,.333,7-22,.318,14-20,.700,17,25,42,37.8,15,10,16,2,9,59,71.3,2013-2014
at Mary Washington,3/1/14,48-65,L,18-44,.409,4-23,.174,8-13,.615,7,13,20,37.1,17,4,11,4,3,48,70.5,2013-2014
RANDOLPH-MACON,11/18/14,71-70,Wot,24-59,.407,5-14,.357,18-24,.750,11,28,39,39.0,28,11,13,7,7,71,71.0,2014-2015
at Washington and Lee,11/21/14,64-53,W,22-58,.379,7-30,.233,13-17,.765,12,30,42,40.5,20,15,14,8,4,64,67.5,2014-2015
at Lynchburg College,11/23/14,66-90,L,21-67,.313,7-31,.226,17-26,.654,18,17,35,38.7,23,12,17,4,5,66,67.0,2014-2015
at Haverford,11/30/14,71-66,W,26-64,.406,7-29,.241,12-19,.632,17,31,48,41.0,22,14,16,3,3,71,68.0,2014-2015
SOUTHERN VIRGINIA,12/03/14,89-79,W,22-45,.489,5-11,.455,40-65,.615,10,23,33,39.4,26,10,18,3,15,89,72.2,2014-2015
at Frostburg State,12/06/14,85-67,W,32-67,.478,7-18,.389,14-23,.609,16,28,44,40.2,15,11,14,5,7,85,74.3,2014-2015
VA. WESLEYAN,12/14/14,83-84,Lot,31-58,.534,8-22,.364,13-24,.542,13,28,41,40.3,22,14,20,7,4,83,75.6,2014-2015
at Salisbury,12/17/14,48-54,L,17-53,.321,3-18,.167,11-19,.579,15,25,40,40.2,17,10,17,4,10,48,72.1,2014-2015
OTTERBEIN,12/29/14,71-55,W,22-59,.373,15-38,.395,12-23,.522,12,27,39,40.1,18,14,11,7,10,71,72.0,2014-2015
HOOD,12/30/14,75-68,W,25-54,.463,10-29,.345,15-21,.714,12,28,40,40.1,19,18,14,4,6,75,72.3,2014-2015
YORK (PA.),01/03/15,95-61,W,34-61,.557,18-35,.514,9-14,.643,11,22,33,39.5,18,22,15,2,10,95,74.4,2014-2015
at Wesley,01/06/15,75-62,W,22-49,.449,7-20,.350,24-29,.828,10,28,38,39.3,23,16,27,6,10,75,74.4,2014-2015
PENN ST. HARRISBURG,01/10/15,81-58,W,27-61,.443,12-31,.387,15-23,.652,14,29,43,39.6,20,18,12,4,11,81,74.9,2014-2015
ST. MARY'S (MD.),01/14/15,66-58,W,21-58,.362,7-23,.304,17-26,.654,13,29,42,39.8,18,12,14,3,9,66,74.3,2014-2015
at Marymount (Va.),01/17/15,60-62,L,21-43,.488,7-16,.438,11-19,.579,10,18,28,39.0,19,7,15,3,6,60,73.3,2014-2015
MARY WASHINGTON,01/21/15,53-49,W,20-57,.351,6-29,.207,7-10,.700,16,24,40,39.1,11,10,16,7,8,53,72.1,2014-2015
FROSTBURG STATE,01/24/15,92-58,W,31-67,.463,11-32,.344,19-20,.950,16,27,43,39.3,18,22,15,8,13,92,73.2,2014-2015
at Southern Virginia,01/28/15,59-60,Lot,17-55,.309,4-29,.138,21-34,.618,20,22,42,39.4,21,6,23,0,8,59,72.4,2014-2015
at York (Pa.),01/31/15,63-55,W,21-54,.389,10-31,.323,11-17,.647,16,18,34,39.2,19,14,9,0,6,63,71.9,2014-2015
SALISBURY,02/04/15,57-64,Lot,22-64,.344,8-22,.364,5-14,.357,14,21,35,39.0,14,14,14,7,17,57,71.2,2014-2015
WESLEY,02/07/15,69-51,W,24-56,.429,12-32,.375,9-12,.750,8,30,38,38.9,25,17,14,10,9,69,71.1,2014-2015
at Mary Washington,02/11/15,58-54,W,19-49,.388,5-22,.227,15-21,.714,12,22,34,38.7,16,9,19,2,5,58,70.5,2014-2015
MARYMOUNT (VA.),02/14/15,80-62,W,28-68,.412,14-30,.467,10-11,.909,16,35,51,39.2,17,19,14,5,4,80,70.9,2014-2015
at St. Mary's (Md.),02/18/15,78-88,L,25-56,.446,11-26,.423,17-29,.586,10,14,24,38.6,27,13,10,2,7,78,71.2,2014-2015
at Penn State Harrisbur,02/21/15,66-56,W,24-49,.490,4-21,.190,14-21,.667,15,19,34,38.4,19,7,12,3,8,66,71.0,2014-2015
WESLEY,02/24/15,87-81,W,28-53,.528,13-24,.542,18-22,.818,4,27,31,38.1,16,14,16,9,7,87,71.6,2014-2015
at St. Mary's (Md.),02/26/15,83-69,W,26-53,.491,13-29,.448,18-26,.692,10,27,37,38.1,20,15,14,3,5,83,72.0,2014-2015
at Salisbury,02/28/15,57-58,L,22-47,.468,5-13,.385,8-11,.727,10,22,32,37.9,19,5,14,1,4,57,71.5,2014-2015
LYNCHBURG,11/15/15,72-56,W,21-59,.356,6-24,.250,24-31,.774,18,27,45,45.0,18,15,13,5,5,72,72.0,2015-2016
WASHINGTON & LEE,11/17/15,70-52,W,28-57,.491,6-17,.353,8-12,.667,12,27,39,42.0,16,19,17,6,14,70,71.0,2015-2016
at Randolph-Macon,11/24/15,74-65,W,25-46,.543,6-17,.353,18-25,.720,7,25,32,38.7,20,14,13,7,7,74,72.0,2015-2016
FROSTBURG STATE,11/29/15,74-47,W,28-60,.467,8-23,.348,10-17,.588,14,33,47,40.8,17,19,17,7,13,74,72.5,2015-2016
SALISBURY,12/02/15,71-60,W,23-49,.469,8-20,.400,17-26,.654,15,22,37,40.0,14,11,15,4,6,71,72.2,2015-2016
at Marymount (VA),12/05/15,68-58,W,23-59,.390,10-30,.333,12-21,.571,18,32,50,41.7,23,12,15,8,2,68,71.5,2015-2016
at Virginia Wesleyan,12/13/15,64-61,W,25-51,.490,5-17,.294,9-12,.750,10,26,36,40.9,20,12,23,2,7,64,70.4,2015-2016
at Pitt-Greensburg,12/16/15,93-74,W,36-66,.545,9-23,.391,12-16,.750,11,26,37,40.4,18,20,13,3,8,93,73.2,2015-2016
SHENANDOAH,12/29/15,80-69,W,25-67,.373,8-27,.296,22-28,.786,14,26,40,40.3,19,20,12,7,8,80,74.0,2015-2016
SCRANTON,12/30/15,58-65,L,21-52,.404,7-25,.280,9-12,.750,10,18,28,39.1,19,13,14,1,6,58,72.4,2015-2016
SOUTHERN VIRGINIA,01/02/16,75-40,W,27-58,.466,6-16,.375,15-23,.652,18,33,51,40.2,24,12,15,5,7,75,72.6,2015-2016
at Penn State Harrisburg,01/06/16,77-65,W,18-43,.419,6-15,.400,35-41,.854,8,24,32,39.5,23,5,15,3,3,77,73.0,2015-2016
WESLEY,01/09/16,81-68,W,25-54,.463,10-21,.476,21-26,.808,11,25,36,39.2,19,15,16,9,11,81,73.6,2015-2016
at Mary Washington,01/13/16,80-62,W,32-67,.478,9-21,.429,7-13,.538,16,24,40,39.3,14,17,13,6,6,80,74.1,2015-2016
YORK (PA.),01/16/16,72-53,W,24-53,.453,9-24,.375,15-29,.517,15,25,40,39.3,22,15,13,8,10,72,73.9,2015-2016
at St. Mary's (Md.),01/20/16,83-67,W,24-59,.407,9-26,.346,26-38,.684,14,30,44,39.6,22,14,14,4,8,83,74.5,2015-2016
at Southern Virginia,01/27/16,82-73,W,26-52,.500,5-12,.417,25-37,.676,8,19,27,38.9,26,10,15,2,8,82,74.9,2015-2016
PENN STATE HARRISBURG,01/30/16,90-41,W,23-45,.511,11-19,.579,33-45,.733,13,22,35,38.7,27,13,16,7,8,90,75.8,2015-2016
at Frostburg State,02/01/16,82-71,W,26-56,.464,4-18,.222,26-39,.667,15,31,46,39.1,19,17,14,5,6,82,76.1,2015-2016
at Salisbury,02/03/16,61-59,Wot,23-57,.404,5-16,.313,10-14,.714,13,17,30,38.6,19,9,13,6,5,61,75.3,2015-2016
at Wesley,02/06/16,78-74,W,25-46,.543,7-21,.333,21-28,.750,9,18,27,38.0,18,13,15,6,1,78,75.5,2015-2016
MARY WASHINGTON,02/10/16,79-68,W,27-59,.458,12-30,.400,13-15,.867,12,29,41,38.2,19,21,15,4,5,79,75.6,2015-2016
at York (Pa.),02/13/16,80-60,W,27-63,.429,8-20,.400,18-25,.720,16,25,41,38.3,19,13,8,3,7,80,75.8,2015-2016
ST. MARY'S (MD.),02/17/16,69-53,W,29-64,.453,4-21,.190,7-9,.778,8,29,37,38.2,13,16,9,5,9,69,75.5,2015-2016
MARYMOUNT (VA),02/20/16,89-59,W,33-57,.579,6-17,.353,17-21,.810,12,27,39,38.3,20,15,13,7,7,89,76.1,2015-2016
ST. MARY'S (MD.),02/25/16,57-56,W,16-52,.308,6-20,.300,19-29,.655,18,24,42,38.4,11,9,14,6,7,57,75.3,2015-2016
SALISBURY,02/27/16,68-67,Wot,23-47,.489,7-16,.438,15-25,.600,8,22,30,38.1,16,15,18,1,8,68,75.1,2015-2016
LYCOMING,03/04/16,79-71,W,28-57,.491,9-28,.321,14-15,.933,6,28,34,38.0,17,16,15,3,3,79,75.2,2015-2016
NYU,03/05/16,67-64,W,22-63,.349,6-20,.300,17-23,.739,14,26,40,38.0,21,8,6,9,9,67,74.9,2015-2016
vs Keene State College,03/11/16,74-62,W,25-59,.424,9-27,.333,15-22,.682,12,30,42,38.2,22,12,17,2,6,74,74.9,2015-2016
vs College of Wooster,03/12/16,81-61,W,29-54,.537,5-18,.278,18-29,.621,8,25,33,38.0,18,16,12,8,8,81,75.1,2015-2016
vs St. Thomas,03/18/16,62-66,L,27-59,.458,5-19,.263,3-11,.273,8,27,35,37.9,23,10,12,3,4,62,74.7,2015-2016
RANDOLPH-MACON,11/15/16,70-47,W,28-59,.475,6-16,.375,8-16,.500,12,30,42,42.0,14,16,11,3,7,70,70.0,2016-2017
vs Wis.-Stevens Point,11/18/16,71-51,W,25-50,.500,9-20,.450,12-20,.600,10,26,36,39.0,14,13,15,4,10,71,70.5,2016-2017
vs Marietta,11/19/16,50-74,L,16-61,.262,6-24,.250,12-17,.706,11,28,39,39.0,22,10,12,3,1,50,63.7,2016-2017
at Dickinson,11/27/16,76-56,W,30-61,.492,9-17,.529,7-10,.700,14,21,35,38.0,16,13,13,3,6,76,66.8,2016-2017
SOUTHERN VIRGINIA,11/30/16,80-55,W,32-61,.525,8-22,.364,8-13,.615,11,29,40,38.4,15,19,11,2,11,80,69.4,2016-2017
FROSTBURG STATE,12/03/16,62-53,W,18-61,.295,7-25,.280,19-22,.864,17,24,41,38.8,17,13,11,5,9,62,68.2,2016-2017
YORK (PA.),12/11/16,85-59,W,30-60,.500,9-29,.310,16-20,.800,8,30,38,38.7,22,18,9,3,7,85,70.6,2016-2017
at Salisbury,12/17/16,58-59,L,19-61,.311,9-29,.310,9-10,.900,15,29,44,39.4,14,8,14,4,5,58,69.0,2016-2017
PITT-GREENSBURG,12/28/16,96-43,W,38-91,.418,12-37,.324,8-10,.800,25,32,57,41.3,11,29,9,6,21,96,72.0,2016-2017
OLD WESTBURY,12/29/16,86-41,W,29-57,.509,13-24,.542,15-22,.682,14,40,54,42.6,17,21,17,6,5,86,73.4,2016-2017
VIRGINIA WESLEYAN,01/01/17,86-75,W,32-64,.500,12-26,.462,10-18,.556,14,31,45,42.8,17,21,11,12,3,86,74.5,2016-2017
